K@1,K@3,K@5,micro_AUC,macro_AUC
0.13480742275714874,0.07441750913858414,0.059629105031490326,0.6051506769335903,0.536345082278348
0.15834522247314453,0.08749406039714813,0.0660485029220581,0.6353047837606859,0.5718748773892358
0.1569186896085739,0.09724204242229462,0.07560627907514572,0.6655428912492574,0.6093288167085323
0.15905848145484924,0.08392772823572159,0.0659058466553688,0.6497621031390365,0.5967581477739788
0.1569186896085739,0.08892059326171875,0.06947218626737595,0.655732596713063,0.6114214596761535
0.17546361684799194,0.09605325758457184,0.07960057258605957,0.6879356086345185,0.6320672930576338
0.15406562387943268,0.09153591096401215,0.07104137539863586,0.6615995358702279,0.6085922413994055
0.08345220983028412,0.11436043679714203,0.09172610938549042,0.7121041423859974,0.6516961786864189
0.18330955505371094,0.12196861952543259,0.09400856494903564,0.7273773348450708,0.6696691093347945
0.22610557079315186,0.1293390393257141,0.09543509781360626,0.7164249006889774,0.6666391692111431
