K@1,K@3,K@5,micro_AUC,macro_AUC
,,,,
0.162624821,0.097004279,0.074322402,0.654429775,0.571971684
0.158345222,0.094626717,0.075463623,0.656304965,0.599496751
0.077746078,0.105087988,0.0807418,0.67249636,0.60461487
0.206847355,0.120542079,0.090014271,0.696376825,0.632781247
0.159058481,0.111507364,0.086733244,0.683891895,0.616662528
0.201854497,0.116975747,0.088445082,0.693937563,0.627106518
0.204707563,0.118164532,0.089443654,0.695316324,0.631571753
0.20328103,0.124108419,0.092724681,0.696709328,0.637956635
0.087018542,0.118877783,0.092724688,0.699210894,0.628781763
0.220399424,0.131241098,0.099144094,0.71609461,0.651660298
0.109129816,0.120066568,0.094721831,0.711674472,0.645821313
0.181883022,0.11578697,0.092439376,0.709271035,0.648873273
0.175463617,0.118877783,0.092154063,0.737929381,0.677919887
0.194721833,0.13100332,0.098573476,0.719837338,0.660038905
0.185449362,0.119353309,0.091298148,0.701454416,0.644280283
0.193295285,0.131716594,0.101997159,0.740291298,0.680582944
0.180456489,0.126485974,0.097146928,0.734619516,0.673361488
0.207560629,0.12196862,0.093295291,0.734191364,0.669141764
0.189015687,0.126961485,0.095577754,0.727005898,0.661097915
0.241084158,0.139562517,0.104992874,0.750578796,0.683231057
0.103423677,0.073941983,0.081597723,0.731888821,0.667078507
